ruta,metodo,archivo,linea
/api/notifications/{nid}/dismiss,POST,backend/routes/dev_batch4_3.py,810
/api/leads/{lead_id}/heat,GET,backend/routes/dev_batch4_4.py,330
/api/leads/{lead_id}/refresh-ai-summary,POST,backend/routes/dev_batch4_4.py,555
/api/dev/analytics/movement-alerts,GET,backend/routes/dev_batch4_4.py,742
/api/dev/pricing-experiments/{exp_id}/assign-visitor,POST,backend/routes/dev_batch5.py,224
/api/dev/pricing-experiments/resolve,POST,backend/routes/dev_batch5.py,277
/api/dev/pricing-experiments/{exp_id}/track-event,POST,backend/routes/dev_batch5.py,343
/api/dev/inegi/cache-stats,GET,backend/routes/dev_batch7_2.py,403
/api/desarrollador/security/summary,GET,backend/routes/developer.py,1570
/api/superadmin/director/memory/stats,GET,backend/routes/director_memory.py,102
/api/superadmin/developments/{dev_id}/documents/upload,POST,backend/routes/documents.py,245
/api/superadmin/developments/{dev_id}/sync-apply,POST,backend/routes/documents.py,581
/api/superadmin/developments/{dev_id}/assets/upload,POST,backend/routes/documents.py,677
/api/superadmin/developments/{dev_id}/assets/regenerate-plano-thumbnails,POST,backend/routes/documents.py,856
/api/developments/{dev_id}/assets,GET,backend/routes/documents.py,869
/api/desarrollador/developments/{dev_id}/documents,GET,backend/routes/documents.py,891
/api/desarrollador/developments/{dev_id}/documents/upload,POST,backend/routes/documents.py,898
/api/desarrollador/documents/{doc_id},GET,backend/routes/documents.py,916
/api/desarrollador/documents/{doc_id}/download,GET,backend/routes/documents.py,921
/api/desarrollador/documents/{doc_id}/reprocess-ocr,POST,backend/routes/documents.py,926
/api/desarrollador/documents/{doc_id},DELETE,backend/routes/documents.py,931
/api/desarrollador/documents,GET,backend/routes/documents.py,936
/api/desarrollador/documents/{doc_id}/extract,POST,backend/routes/documents.py,945
/api/desarrollador/documents/{doc_id}/extraction,GET,backend/routes/documents.py,950
/api/desarrollador/developments/{dev_id}/documents/bulk-extract,POST,backend/routes/documents.py,955
/api/desarrollador/developments/{dev_id}/cross-check,POST,backend/routes/documents.py,961
/api/desarrollador/developments/{dev_id}/cross-check,GET,backend/routes/documents.py,966
/api/desarrollador/developments/{dev_id}/sync-preview,GET,backend/routes/documents.py,972
/api/desarrollador/developments/{dev_id}/sync-apply,POST,backend/routes/documents.py,977
/api/desarrollador/developments/{dev_id}/sync-revert/{audit_id},POST,backend/routes/documents.py,982
/api/desarrollador/developments/{dev_id}/sync-audit,GET,backend/routes/documents.py,987
/api/desarrollador/developments/{dev_id}/sync-lock-field,POST,backend/routes/documents.py,992
/api/desarrollador/sync/pending-summary,GET,backend/routes/documents.py,997
/api/desarrollador/developments/{dev_id}/assets/upload,POST,backend/routes/documents.py,1003
