engine,importado_por_n,importado_por,expuesto_en_endpoint,agendado_en_cron,estado_preliminar,auditado
backend/house_pool_engine.py,4,backend/cerebro/executors.py;backend/lead_capture_marketplace_engine.py;backend/routes/house_leads.py;scripts/seed_house_asesores.py,backend/routes/house_leads.py,no,ACTIVO,
backend/insights_factcheck_engine.py,4,backend/conversation_kb_gaps_engine.py;backend/engines_batch_cubo.py;backend/routes/external_insights.py;backend/server.py,backend/routes/external_insights.py;backend/server.py,no,ACTIVO,
backend/intelligence_insights_engine.py,5,backend/engines_batch_cubo.py;backend/routes/superadmin_intelligence_hub.py;backend/scheduler_ie.py;backend/server.py;backend/tests/wave2/test_intelligence_insights_engine_unit.py,backend/routes/superadmin_intelligence_hub.py;backend/server.py,backend/scheduler_ie.py,ACTIVO,
backend/inversionista_engine.py,4,backend/engines_hub.py;backend/estudio_mercado_engine.py;backend/routes/advisor.py;backend/routes/estudio_mercado.py,backend/routes/advisor.py;backend/routes/estudio_mercado.py,no,ACTIVO,
backend/investment_simulator_engine.py,16,backend/asistente_engine.py;backend/atlax_blocks.py;backend/bancabilidad_engine.py;backend/cerebro/executors.py;backend/dmx_cube_feed.py;backend/engines_hub.py,backend/routes/insights.py;backend/routes/investment_simulator.py;backend/routes/location_intel.py,no,ACTIVO,
backend/kg_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/knowledge_graph_engine.py,11,backend/conversation_rag.py;backend/engines_batch_cubo.py;backend/kg_anomaly_detector.py;backend/kg_cron.py;backend/kg_etl.py;backend/kg_query_helper.py,backend/routes/dev_batch4_1.py;backend/routes/disputes.py;backend/routes/knowledge_graph.py,backend/kg_cron.py,ACTIVO,
backend/lead_capture_engine.py,5,backend/routes/agentic_crm.py;backend/routes/dev_batch4.py;backend/routes/landings.py;backend/routes/lead_capture.py;backend/server.py,backend/routes/agentic_crm.py;backend/routes/dev_batch4.py;backend/routes/landings.py,no,ACTIVO,
backend/lead_capture_marketplace_engine.py,3,backend/predictive_alerts_engine.py;backend/routes/lead_capture_marketplace.py;backend/server.py,backend/routes/lead_capture_marketplace.py;backend/server.py,no,ACTIVO,
backend/lead_enrichment_engine.py,5,backend/asistente_engine.py;backend/cerebro/executors.py;backend/conversation_lead_enrichment.py;backend/routes/lead_enrichment.py;backend/server.py,backend/routes/lead_enrichment.py;backend/server.py,no,ACTIVO,
backend/lead_journey_engine.py,14,backend/agentic_crm/disc_inferencer_engine.py;backend/agentic_crm/smart_routing_engine.py;backend/buyer_coach_engine.py;backend/engines_batch_demanda.py;backend/lead_capture_engine.py;backend/lead_nurture_engine.py,backend/routes/dev_batch4_2.py;backend/routes/lead_journey.py;backend/server.py,backend/scheduler_f02.py,ACTIVO,
backend/lead_nurture_engine.py,6,backend/auto_nurture_cron.py;backend/director_agent_engine.py;backend/routes/agentic_crm.py;backend/scheduler_ie.py;backend/server.py;backend/tests/wave4/test_lead_nurture_engine_unit.py,backend/routes/agentic_crm.py;backend/server.py,backend/auto_nurture_cron.py;backend/scheduler_ie.py,ACTIVO,
backend/liv_engine.py,1,backend/routes/dmx_indices.py,backend/routes/dmx_indices.py,no,ACTIVO,
backend/live_pulse_cron.py,2,backend/routes/live_pulse.py;backend/server.py,backend/routes/live_pulse.py;backend/server.py,no,ACTIVO,
backend/live_pulse_engine.py,7,backend/asistente_engine.py;backend/engines_hub.py;backend/investment_simulator_engine.py;backend/live_pulse_cron.py;backend/routes/developer.py;backend/routes/dmx_indices.py,backend/routes/developer.py;backend/routes/dmx_indices.py;backend/server.py,backend/live_pulse_cron.py,ACTIVO,
backend/lote_veredicto_engine.py,2,backend/engines_batch_inversion.py;backend/routes/dev_valor_residual.py,backend/routes/dev_valor_residual.py,no,ACTIVO,
backend/maps_cross_engine.py,7,backend/free_audit_engine.py;backend/investment_simulator_engine.py;backend/routes/maps_cross.py;backend/score_inversion_engine.py;backend/server.py;backend/state_of_cdmx_engine.py,backend/routes/maps_cross.py;backend/server.py,no,ACTIVO,
backend/maps_engine.py,4,backend/engines_batch_geo.py;backend/routes/maps.py;backend/server.py;backend/tests/wave4/test_maps_engine_unit.py,backend/routes/maps.py;backend/server.py,no,ACTIVO,
backend/market_estimate_engine.py,4,backend/avm_predios_engine.py;backend/colonia_valoracion_engine.py;backend/engines_hub.py;backend/routes/public.py,backend/routes/public.py,no,ACTIVO,
backend/market_rates_engine.py,5,backend/composite_metrics.py;backend/engines_hub.py;backend/metrics_cube_aggregations.py;backend/routes/public.py;backend/scheduler_ie.py,backend/routes/public.py,backend/scheduler_ie.py,ACTIVO,
backend/marketing_mcp_engine.py,3,backend/asistente_engine.py;backend/routes/marketing_mcp.py;backend/server.py,backend/routes/marketing_mcp.py;backend/server.py,no,ACTIVO,
backend/marketplace_templates_engine.py,3,backend/asistente_engine.py;backend/routes/marketplace_templates.py;backend/server.py,backend/routes/marketplace_templates.py;backend/server.py,no,ACTIVO,
backend/mcp_distribution_engine.py,3,backend/routes/mcp_distribution.py;backend/server.py;backend/tests/wave4/test_mcp_distribution_engine_unit.py,backend/routes/mcp_distribution.py;backend/server.py,no,ACTIVO,
backend/model_validation_engine.py,3,backend/data_lake_etl.py;backend/engines_batch_valuacion.py;backend/routes/superadmin_data_lake.py,backend/routes/superadmin_data_lake.py,no,ACTIVO,
backend/mood_engine.py,3,backend/engines_batch_demanda.py;backend/routes/mood.py;backend/server.py,backend/routes/mood.py;backend/server.py,no,ACTIVO,
backend/narrative_engine.py,5,backend/ai_suggestions.py;backend/briefing_engine.py;backend/buyer_coach_engine.py;backend/routes/advisor.py;backend/server.py,router propio,no,ACTIVO,
backend/narrative_layer_engine.py,8,backend/asistente_engine.py;backend/climate_migration_engine.py;backend/comparator_engine.py;backend/engines_batch_cubo.py;backend/lead_capture_marketplace_engine.py;backend/routes/narrative.py,backend/routes/narrative.py;backend/server.py,no,ACTIVO,
backend/natural_risk_engine.py,8,backend/atlax_blocks.py;backend/engines_hub.py;backend/predio_due_diligence_engine.py;backend/risk_score_engine.py;backend/routes/public.py;backend/scheduler_ie.py,backend/routes/public.py;backend/server.py,backend/scheduler_ie.py,ACTIVO,
backend/newsletter_pulse_engine.py,5,backend/engines_batch_cubo.py;backend/routes/newsletter.py;backend/scheduler_ie.py;backend/server.py;backend/tests/wave4/test_newsletter_pulse_engine_unit.py,backend/routes/newsletter.py;backend/server.py,backend/scheduler_ie.py,ACTIVO,
backend/norma3_engine.py,5,backend/demand_intelligence.py;backend/engines_batch_valuacion.py;backend/estudio_mercado_engine.py;backend/lote_veredicto_engine.py;backend/routes/dev_valor_residual.py,backend/routes/dev_valor_residual.py,no,ACTIVO,
backend/notifications_engine.py,32,backend/accuracy_engine.py;backend/asesor_digest_engine.py;backend/battle_card_cron.py;backend/buyer_score_cron.py;backend/churn_prediction_cron.py;backend/conversation_drift_detector.py,backend/routes/disputes.py;backend/routes/notifications.py;backend/server.py,backend/battle_card_cron.py;backend/buyer_score_cron.py;backend/churn_prediction_cron.py,ACTIVO,
backend/osm_engine.py,12,backend/asistente_engine.py;backend/colonias_catalog.py;backend/data_sources/__init__.py;backend/dmx_external_enrich.py;backend/engines_hub.py;backend/routes/data_sources.py,backend/routes/data_sources.py;backend/routes/location_intel.py;backend/routes/phase5_foundation.py,backend/zone_data_cron.py,ACTIVO,
backend/ownership_economics_engine.py,3,backend/amenidades_engine.py;backend/engines_hub.py;backend/routes/buy_signal.py,backend/routes/buy_signal.py,no,ACTIVO,
backend/parallax_engine.py,1,backend/routes/buyer_signals.py,backend/routes/buyer_signals.py,no,ACTIVO,
backend/perception_risk_engine.py,4,backend/crime_data_engine.py;backend/engines_hub.py;backend/risk_score_engine.py;backend/server.py,backend/server.py,no,ACTIVO,
backend/perfil_zona_engine.py,4,backend/engines_hub.py;backend/estudio_mercado_engine.py;backend/inversionista_engine.py;backend/routes/estudio_mercado.py,backend/routes/estudio_mercado.py,no,ACTIVO,
backend/pipeline_engine.py,10,backend/auto_nurture_cron.py;backend/pipeline_migration_script.py;backend/routes/dev_batch4.py;backend/routes/dev_batch4_2.py;backend/scheduler_ie.py;backend/server.py,backend/routes/dev_batch4.py;backend/routes/dev_batch4_2.py;backend/server.py,backend/auto_nurture_cron.py;backend/scheduler_ie.py,ACTIVO,
backend/plusvalia_grid_engine.py,2,backend/routes/plusvalia.py;scripts/seed_plusvalia_grid.py,backend/routes/plusvalia.py,no,ACTIVO,
backend/predictive_alerts_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/predictive_alerts_engine.py,4,backend/climate_migration_engine.py;backend/predictive_alerts_cron.py;backend/routes/predictive_alerts.py;backend/server.py,backend/routes/predictive_alerts.py;backend/server.py,backend/predictive_alerts_cron.py,ACTIVO,
backend/predio_due_diligence_engine.py,3,backend/engines_hub.py;backend/lote_veredicto_engine.py;backend/routes/dev_valor_residual.py,backend/routes/dev_valor_residual.py,no,ACTIVO,
backend/preferencias_engine.py,4,backend/engines_batch_demanda.py;backend/estudio_mercado_engine.py;backend/routes/estudio_mercado.py;backend/unidad_insights_engine.py,backend/routes/estudio_mercado.py,no,ACTIVO,
backend/price_context_engine.py,2,backend/engines_hub.py;backend/routes/buy_signal.py,backend/routes/buy_signal.py,no,ACTIVO,
backend/private_beta_engine.py,3,backend/routes/private_beta.py;backend/server.py;backend/tests/wave4/test_private_beta_engine_unit.py,backend/routes/private_beta.py;backend/server.py,no,ACTIVO,
backend/probability_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/probability_engine.py,6,backend/asistente_engine.py;backend/close_probability.py;backend/demand_intelligence.py;backend/probability_cron.py;backend/server.py;backend/unidad_biografia.py,router propio,backend/probability_cron.py,ACTIVO,
backend/project_wizard_engine.py,3,backend/asistente_engine.py;backend/routes/project_wizard.py;backend/server.py,backend/routes/project_wizard.py;backend/server.py,no,ACTIVO,
backend/rag_engine.py,9,backend/atlax_engine.py;backend/briefing_engine.py;backend/cerebro/lookalike.py;backend/rag_context_helper.py;backend/rag_reindex_cron.py;backend/reverse_search_engine.py,router propio,backend/rag_reindex_cron.py,ACTIVO,
backend/rag_reindex_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/reputation_monitor_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/reputation_monitor_engine.py,5,backend/asistente_engine.py;backend/engines_batch_inversion.py;backend/reputation_monitor_cron.py;backend/routes/reputation_monitor.py;backend/server.py,backend/routes/reputation_monitor.py;backend/server.py,backend/reputation_monitor_cron.py,ACTIVO,
backend/resend_engine.py,3,backend/conversation_channels/email.py;backend/routes/private_beta.py;backend/scheduler_f02.py,backend/routes/private_beta.py,backend/scheduler_f02.py,ACTIVO,
backend/reverse_search_engine.py,5,backend/asistente_engine.py;backend/engines_batch_demanda.py;backend/routes/perfil_recomendar.py;backend/routes/reverse_search.py;backend/server.py,backend/routes/perfil_recomendar.py;backend/routes/reverse_search.py;backend/server.py,no,ACTIVO,
