frontend_archivo,linea,metodo,url,endpoint_existe,schema_ok,estado,auditado
frontend/src/api/batch17.js,17,POST,{var}/api/undo/{var},,,,
frontend/src/api/batch17.js,24,GET,{var}/api/undo/recent?limit={var},,,,
frontend/src/api/batch17.js,32,GET,{var}/api/filter-presets{var},,,,
frontend/src/api/batch17.js,37,POST,{var}/api/filter-presets,,,,
frontend/src/api/batch17.js,46,DELETE,{var}/api/filter-presets/{var},,,,
frontend/src/api/batch17.js,53,PATCH,{var}/api/inline/{var}/{var},,,,
frontend/src/api/batch17.js,62,POST,{var}/api/dev/projects/{var}/documents/reorder,,,,
frontend/src/api/batch17.js,71,POST,{var}/api/dev/projects/{var}/prototypes/reorder,,,,
frontend/src/api/batch17.js,80,POST,{var}/api/asesor/tareas/reorder,,,,
frontend/src/api/batch17.js,90,POST,{var}/api/desarrollador/developments/{var}/assets/reorder,,,,
frontend/src/api/battle_card.js,29,GET,/api/dev/battle-card/{var},,,,
frontend/src/api/battle_card.js,37,GET,/api/dev/battle-card/{var}/competitors,,,,
frontend/src/api/battle_card.js,46,GET,/api/dev/battle-card/{var}/history?weeks={var},,,,
frontend/src/api/battle_card.js,54,GET,/api/dev/battle-card/{var}/recommendation,,,,
frontend/src/api/branding.js,7,GET,{var}/api/orgs/me/branding,,,,
frontend/src/api/branding.js,13,PUT,{var}/api/orgs/me/branding,,,,
frontend/src/api/branding.js,29,POST,{var}/api/orgs/me/branding/logo,,,,
frontend/src/api/branding.js,42,DELETE,{var}/api/orgs/me/branding/logo,,,,
frontend/src/api/bulletins.js,13,GET,{var}/api/bulletins/{var}/{var},,,,
frontend/src/api/bulletins.js,21,GET,{var}/api/public/methodology,,,,
frontend/src/api/bulletins.js,30,GET,{var}/api/superadmin/bulletins/list?{var},,,,
frontend/src/api/bulletins.js,34,POST,{var}/api/superadmin/bulletins/generate,,,,
frontend/src/api/buyer_alerts.js,8,GET,{var}/api/comprador/alerts,,,,
frontend/src/api/buyer_alerts.js,14,POST,{var}/api/comprador/alerts,,,,
frontend/src/api/buyer_alerts.js,28,PATCH,{var}/api/comprador/alerts/{var},,,,
frontend/src/api/buyer_alerts.js,42,DELETE,{var}/api/comprador/alerts/{var},,,,
frontend/src/api/buyer_alerts.js,51,GET,{var}/api/comprador/alerts/deliveries?limit={var},,,,
frontend/src/api/buyer_score.js,27,GET,{var}/api/asesor/lead/{var}/buyer-score,,,,
frontend/src/api/buyer_score.js,40,GET,{var}/api/superadmin/buyer-score/summary,,,,
frontend/src/api/buyer_score.js,51,GET,{var}/api/superadmin/buyer-score/per-user?{var},,,,
frontend/src/api/buyer_score.js,59,POST,{var}/api/superadmin/buyer-score/trigger-recompute,,,,
frontend/src/api/chat.js,8,POST,{var}/api/chat/threads,,,,
frontend/src/api/chat.js,22,GET,{var}/api/chat/threads,,,,
frontend/src/api/chat.js,36,POST,{var}/api/chat/threads/{var}/messages,,,,
frontend/src/api/chat.js,50,POST,{var}/api/chat/threads/{var}/read,,,,
frontend/src/api/chat.js,59,GET,{var}/api/chat/unread,,,,
frontend/src/api/cma.js,36,GET,{var}/api/asesor/cma/{var}/pdf,,,,
frontend/src/api/comparableAlerts.js,5,GET,{var}/api/comparable-alerts/dev/{var},,,,
frontend/src/api/compare.js,5,POST,{var}/api/compare,,,,
frontend/src/api/compare.js,20,GET,{var}/api/marketplace/developments?q=${encodeURIComponent(q || ,,,,
frontend/src/api/crossSell.js,6,GET,{var}/api/comprador/cross-sell/offers{var},,,,
frontend/src/api/crossSell.js,14,POST,{var}/api/comprador/cross-sell/offers/{var}/click,,,,
frontend/src/api/crossSell.js,24,POST,{var}/api/comprador/cross-sell/offers/{var}/fill,,,,
frontend/src/api/crossSell.js,36,GET,{var}/api/comprador/cross-sell/my-offers,,,,
frontend/src/api/cross_partnerships.js,19,POST,{var}/api/cross-partnerships,,,,
frontend/src/api/cross_partnerships.js,29,POST,{var}/api/cross-partnerships{var},,,,
frontend/src/api/cross_partnerships.js,33,POST,{var}/api/cross-partnerships/{var}/approve,,,,
frontend/src/api/cross_partnerships.js,39,POST,{var}/api/cross-partnerships/{var}/reject,,,,
frontend/src/api/cross_partnerships.js,45,POST,{var}/api/cross-partnerships/{var}/revoke,,,,
frontend/src/api/dataLicensing.js,11,GET,{var}/api/superadmin/data-licensing/bundles,,,,
frontend/src/api/dataLicensing.js,18,POST,{var}/api/superadmin/data-licensing/subscriptions?{var},,,,
frontend/src/api/dataLicensing.js,24,POST,{var}/api/superadmin/data-licensing/subscriptions,,,,
frontend/src/api/dataLicensing.js,32,PATCH,{var}/api/superadmin/data-licensing/subscriptions/{var},,,,
frontend/src/api/developer.js,219,PATCH,{var}/api/dev/leads/{var},,,,
frontend/src/api/developer.js,229,PATCH,{var}/api/dev/projects/{var}/brokers/{var},,,,
frontend/src/api/developer.js,232,DELETE,{var}/api/dev/projects/{var}/brokers/{var},,,,
frontend/src/api/developer.js,249,PATCH,{var}/api/cita/{var},,,,
frontend/src/api/developer.js,259,PATCH,{var}/api/inmobiliaria/asesores/{var},,,,
frontend/src/api/developer.js,262,DELETE,{var}/api/inmobiliaria/asesores/{var},,,,
frontend/src/api/developer.js,375,POST,{var}/api/desarrollador/developments/{var}/assets/upload,,,,
frontend/src/api/directories.js,19,GET,{var}/api/dev/red-comercial,,,,
frontend/src/api/directories.js,23,GET,{var}/api/asesor/mis-aliados,,,,
