coleccion,n_archivos,archivos
price_index_snapshots,3,backend/routes/investment_explorer.py;backend/routes/transaction_network.py;backend/transaction_network_engine.py
avm_predios,3,backend/routes/mapa_predios.py;backend/routes/public.py;scripts/seed_avm_predios.py
image_embeddings,3,backend/routes/marketplace_search.py;backend/services/image_embeddings.py;backend/services/image_search.py
studio_assets,3,backend/routes/studio.py;backend/routes/studio_assets.py;backend/studio_asset_library.py
studio_carruseles,3,backend/routes/studio_carrusel.py;backend/routes/studio_landing.py;backend/studio_carrusel_engine.py
asesor_swipe_events,3,backend/routes/superadmin_devmaster.py;backend/routes/swipe_public.py;backend/taste_profile.py
visitor_taste_materialized,3,backend/visitor_taste.py;scripts/propagation_directions.py;scripts/smoke_e2e.py
cube_actions,2,backend/activacion.py;scripts/flywheel_final.py
studio_video_audios,2,backend/adapters/tts/elevenlabs.py;backend/asistente_engine.py
atlax_personas,2,backend/agentic_crm/argumentario_engine.py;backend/atlax_persona_engine.py
routing_metrics,2,backend/agentic_crm/smart_routing_engine.py;backend/routes/agentic_crm.py
user_quota_usage,2,backend/ai_quota_engine.py;backend/routes/superadmin_ai_cost.py
founder_anomalies,2,backend/anomaly_detection_engine.py;backend/routes/superadmin_founder_console.py
notification_preferences,2,backend/asesor_digest_engine.py;backend/notifications_engine.py
asesor_briefings,2,backend/asesor_digest_engine.py;backend/routes/advisor.py
whatsapp_templates,2,backend/asistente_engine.py;backend/routes/whatsapp.py
mood_quiz_results,2,backend/asistente_engine.py;backend/routes/mood.py
developments_units,2,backend/asistente_engine.py;backend/narrative_collector.py
studio_video_scripts,2,backend/asistente_engine.py;backend/studio_video_engine.py
caya_messages,2,backend/atlax_engine.py;backend/migrations/migrate_caya_to_asistente.py
appointment_policies,2,backend/availability.py;backend/routes/dev_batch16.py
appointment_assign_log,2,backend/availability.py;backend/tests/test_batch15.py
hedonic_promotion_log,2,backend/avm_retrain_cron.py;backend/routes/avm_accuracy.py
hedonic_retrain_runs,2,backend/avm_retrain_cron.py;backend/routes/avm_accuracy.py
brochures,2,backend/brochure_engine.py;backend/routes/brochure.py
dmx_bulletins,2,backend/bulletins_engine.py;backend/routes/bulletins.py
buyer_score_runs,2,backend/buyer_score_cron.py;backend/routes/buyer_score.py
comparable_alerts,2,backend/comparable_anomaly_engine.py;backend/routes/comparable_alerts.py
price_events,2,backend/composite_metrics.py;backend/routes/dev_price_history.py
dev_drive_connections,2,backend/connector_registry.py;backend/drive_engine.py
calendar_connections,2,backend/connector_registry.py;backend/services/calendar_bidirectional.py
connector_invocations,2,backend/connector_registry.py;backend/routes/superadmin_data_hub.py
construction_costs,2,backend/construction_cost_engine.py;backend/hedonic_regression_engine.py
construction_quality_signals,2,backend/construction_quality_engine.py;backend/scripts/seed_w6_construction_quality.py
construction_quality_cache,2,backend/construction_quality_engine.py;backend/scripts/seed_w6_construction_quality.py
conversation_drift_alerts,2,backend/conversation_drift_detector.py;backend/tests/test_conversation_drift_routes.py
partner_revenue_events,2,backend/cross_sell_engine.py;backend/routes/partners.py
etl_runs,2,backend/data_lake_etl.py;backend/routes/superadmin_data_lake.py
atlas_riesgos,2,backend/data_sources/atlas_riesgos_engine.py;backend/maps_engine.py
banxico_series,2,backend/data_sources/banxico_engine.py;backend/routes/superadmin_devmaster.py
reviews_residents_cache,2,backend/demand_intelligence.py;backend/reviews_residents_engine.py
airroi_cache,2,backend/demand_intelligence.py;backend/routes/public.py
dev_access_log,2,backend/dev_guard.py;backend/dev_redteam_test.py
probe_recurrence,2,backend/diagnostic_engine.py;backend/routes/diagnostic.py
project_diagnostics,2,backend/diagnostic_engine.py;backend/routes/diagnostic.py
director_tool_calls,2,backend/director_agent_engine.py;backend/routes/director.py
diagnostic_reports,2,backend/director_memory_engine.py;backend/routes/diagnostic.py
director_memory_index,2,backend/director_memory_engine.py;backend/routes/director_memory.py
dedup_runs,2,backend/entity_resolution_cron.py;backend/routes/entity_resolution.py
dedup_blacklist,2,backend/entity_resolution_engine.py;backend/routes/entity_resolution.py
merged_entities_archive,2,backend/entity_resolution_engine.py;backend/kg_etl.py
broker_fraud_patterns,2,backend/entity_resolution_engine.py;backend/routes/entity_resolution.py
macro_alert_sent,2,backend/external_insights_cron.py;backend/routes/external_insights.py
comparison_cache,2,backend/fit_engine.py;backend/predictive_alerts_engine.py
free_audit_submissions,2,backend/free_audit_engine.py;backend/routes/free_audit.py
calibracion_terreno,2,backend/golden_calibration_engine.py;backend/valor_residual_engine.py
zone_places,2,backend/google_places_ingest.py;backend/routes/public.py
gov_data_mx_raw,2,backend/gov_data_mx_cron.py;backend/gov_data_mx_engine.py
gov_data_mx_uploads,2,backend/gov_data_mx_engine.py;backend/scripts/seed_w6_gov_data_mx.py
health_scores_snapshots,2,backend/health_score.py;backend/routes/insights.py
insights_factcheck_cache,2,backend/insights_factcheck_engine.py;backend/scripts/seed_w6_quick_wins.py
insights_courses,2,backend/insights_factcheck_engine.py;backend/scripts/seed_w6_quick_wins.py
kg_anomalies,2,backend/kg_anomaly_detector.py;backend/routes/knowledge_graph.py
fb_lead_ads_config,2,backend/lead_capture_engine.py;backend/routes/lead_capture.py
landing_leads,2,backend/lead_nurture_engine.py;backend/routes/landings.py
live_pulse_subscriptions,2,backend/live_pulse_cron.py;backend/routes/live_pulse.py
live_pulse_alerts_sent,2,backend/live_pulse_cron.py;backend/routes/live_pulse.py
saved_zones,2,backend/maps_cross_engine.py;backend/probability_cron.py
map_layer_cache,2,backend/maps_engine.py;backend/routes/maps.py
market_comps,2,backend/market_comps_seed.py;backend/market_estimate_engine.py
marketing_mcp_scheduled,2,backend/marketing_mcp_engine.py;backend/scripts/seed_w6_marketing_mcp.py
marketing_mcp_log,2,backend/marketing_mcp_engine.py;backend/scripts/seed_w6_marketing_mcp.py
mcp_usage_logs,2,backend/mcp_server.py;backend/routes/press.py
newsletter_pulse_runs,2,backend/newsletter_pulse_engine.py;backend/routes/newsletter.py
newsletter_opt_ins,2,backend/newsletter_pulse_engine.py;backend/routes/newsletter.py
cash_flow_forecasts,2,backend/probes/ai_integrations.py;backend/routes/dev_batch8.py
weekly_briefs,2,backend/probes/health_score.py;backend/routes/dev_batch14.py
project_documents,2,backend/probes/schema.py;backend/server.py
api_call_logs,2,backend/public_api_auth.py;backend/routes/public_api_v1.py
studio_property_intakes,2,backend/rag_engine.py;backend/routes/studio_property_intake.py
inegi_demographics_cache,2,backend/rag_engine.py;backend/routes/dev_batch7_2.py
asesor_captaciones,2,backend/resale_data.py;backend/routes/advisor.py
reviews_residents,2,backend/reviews_residents_engine.py;backend/scripts/seed_w6_reviews_residents.py
risk_letter_changes,2,backend/risk_score_engine.py;backend/routes/risk_alerts.py
zone_weights,2,backend/routes/accuracy.py;backend/weight_optimizer.py
asesor_swipe_profiles,2,backend/routes/advisor.py;backend/routes/swipe_public.py
asesor_text_signals,2,backend/routes/advisor.py;backend/taste_profile.py
asesor_property_links,2,backend/routes/advisor.py;backend/routes/swipe_public.py
dev_org_settings,2,backend/routes/b13.py;backend/routes/dev_batch1.py
experiencia_views,2,backend/routes/buyer_signals.py;backend/routes/superadmin_copiloto.py
comprador_dashboards,2,backend/routes/comprador.py;backend/services/comprador_dashboard.py
properties,2,backend/routes/cross_sell.py;backend/routes/social_cards.py
asesor_dispute_history,2,backend/routes/dev_batch4_1.py;backend/routes/disputes.py
floor_unit_positions,2,backend/routes/floor_view.py;backend/scripts/migrate_floor_unit_positions_b18_5.py
ie_ingestion_jobs,2,backend/routes/ie_engine.py;backend/scheduler_ie.py
ie_manual_uploads,2,backend/routes/ie_engine.py;backend/routes/scores.py
audit_logs,2,backend/routes/landings.py;backend/server.py
marketplace_template_clones,2,backend/routes/marketplace_templates.py;backend/scripts/seed_w6_marketplace_templates.py
parse_misses,2,backend/routes/public.py;backend/routes/superadmin_copiloto.py
ie_score_history,2,backend/routes/scores.py;backend/score_engine.py
seo_filter_combos,2,backend/routes/seo_files.py;backend/seo_combos_seed.py
studio_videos,2,backend/routes/studio.py;backend/studio_video_engine.py
studio_user_budget,2,backend/routes/studio.py;backend/studio_engines.py
mood_boards,2,backend/routes/studio_assets.py;backend/studio_asset_library.py
voice_interactions,2,backend/routes/voice.py;backend/voice_atlax_engine.py
watchlist_subscribers,2,backend/routes/watchlist.py;backend/scheduler_ie.py
buyer_wrapped,2,backend/routes/wrapped.py;backend/services/wrapped_generator.py
sacmex_zone_colonia,2,backend/sacmex_water_ingest.py;backend/score_engine.py
seismic_zone_colonia,2,backend/score_engine.py;backend/seismic_zone_ingest.py
soc_franchise_cache,2,backend/scripts/seed_w6_soc_franchise.py;backend/soc_franchise_engine.py
soc_franchise_history,2,backend/scripts/seed_w6_soc_franchise.py;backend/soc_franchise_engine.py
unit_price_history,2,backend/services/buyer_alerts.py;backend/services/colonia_comparator.py
buyer_history,2,backend/services/client_insights.py;backend/services/visit_auto_prep.py
favoritos,2,backend/services/client_insights.py;backend/services/visit_auto_prep.py
lead_attribution,2,backend/services/client_insights.py;backend/services/visit_auto_prep.py
privacy_consents,2,backend/services/comprador_dashboard.py;backend/services/privacy_center.py
inmobiliaria_advisor_relationships,2,backend/services/directory_aggregator.py;backend/services/inmobiliaria_relationships.py
asesor_disc_profiles,2,backend/services/disc_test.py;backend/services/trust_score.py
asesor_endorsements,2,backend/services/endorsements.py;backend/services/trust_score.py
asesor_linkedin_profiles,2,backend/services/linkedin_import.py;backend/services/trust_score.py
studio_copy_jobs,2,backend/studio_buyer_copy_engine.py;backend/studio_carrusel_engine.py
studio_carrusel_ab_groups,2,backend/studio_carrusel_ab_engine.py;backend/studio_carrusel_engine.py
workflow_audit,2,backend/tests/test_workflow_isolation_b56.py;backend/workflow_engine.py
accuracy_snapshots,1,backend/accuracy_engine.py
cube_action_user_state,1,backend/activacion.py
match_weights_per_org,1,backend/agentic_crm/match_weights_engine.py
audit_replay_events,1,backend/agentic_crm/observability_engine.py
atlax_messages,1,backend/agentic_crm/observability_engine.py
ml_accuracy_log,1,backend/agentic_crm/observability_engine.py
avm_runs,1,backend/agentic_crm/observability_engine.py
ai_roi_per_dev,1,backend/agentic_crm/observability_engine.py
asesores,1,backend/agentic_crm/smart_routing_engine.py
argumentario_kb,1,backend/agentic_crm/visit_prep_engine.py
ai_usage_log,1,backend/ai_budget.py
platform_config,1,backend/ai_budget.py
inmobiliaria_organizations,1,backend/ai_cost_aggregations.py
ai_cost_daily_snapshots,1,backend/ai_cost_aggregations.py
user_quota_usage_daily,1,backend/ai_quota_engine.py
founder_email_throttle,1,backend/anomaly_detection_engine.py
trends_cache,1,backend/apify_trends_engine.py
asesor_digest_sends,1,backend/asesor_digest_engine.py
auto_nurture_runs,1,backend/auto_nurture_cron.py
autopilot_config,1,backend/auto_pilot_engine.py
autopilot_log,1,backend/auto_pilot_engine.py
availability_cache,1,backend/availability.py
gov_rates,1,backend/banxico_rates.py
battle_card_emails_sent,1,backend/battle_card_cron.py
zone_subscores,1,backend/battle_card_engine.py
ie_advisor_briefings,1,backend/briefing_engine.py
scores,1,backend/brochure_engine.py
bulletin_subscribers,1,backend/bulletins_engine.py
buyer_coach_leads,1,backend/buyer_coach_engine.py
colonia_catastro_idx,1,backend/catastro_sig_engine.py
comprador_shortlists,1,backend/cerebro/executors.py
comprador_saved_searches,1,backend/cerebro/executors.py
churn_alerts_sent,1,backend/churn_prediction_cron.py
ie_col_clima,1,backend/climate_migration_engine.py
cenapred_events,1,backend/climate_migration_engine.py
inegi_migration_snapshots,1,backend/climate_migration_engine.py
close_prob_weights,1,backend/close_probability_tuning.py
cmas,1,backend/cma_engine.py
valuation_calibration,1,backend/comercial_value_model.py
conversation_confidence_alerts,1,backend/conversation_confidence_score.py
conversation_confidence_usage,1,backend/conversation_engine.py
conversation_hook_scores,1,backend/conversation_hook_predictor.py
conversation_kb_gaps_meta,1,backend/conversation_kb_gaps_engine.py
conversation_kb_gaps,1,backend/conversation_kb_gaps_engine.py
conversation_faqs,1,backend/conversation_kb_gaps_engine.py
conversation_autoenrich,1,backend/conversation_lead_enrichment.py
conversation_tuning_runs,1,backend/conversation_self_tuning.py
conversation_tuning_proposals,1,backend/conversation_self_tuning.py
conversation_soc_signals,1,backend/conversation_soc_integration.py
conversation_workflow_pauses,1,backend/conversation_workflow_bridge.py
asesor_copilot_events,1,backend/copilot_events.py
crime_data_sesnsp,1,backend/crime_data_engine.py
cube_backfill_jobs,1,backend/cube_olap_engine.py
cube_materialized_views,1,backend/cube_olap_engine.py
catastro_cdmx,1,backend/data_sources/catastro_engine.py
gtfs_cdmx,1,backend/data_sources/gtfs_engine.py
osm_pois,1,backend/data_sources/osm_engine.py
sigcdmx_uso_suelo,1,backend/data_sources/sigcdmx_engine.py
climate_migration_patterns,1,backend/demand_intelligence.py
dev_memory,1,backend/dev_memory_engine.py
diagnostic_ai_cache,1,backend/diagnostic_engine.py
comparables,1,backend/director_agent_engine.py
matches,1,backend/director_agent_engine.py
ie_scores_history,1,backend/director_memory_engine.py
drift_triggers_log,1,backend/drift_detector.py
macro_alert_history,1,backend/external_insights_cron.py
pipeline_stages,1,backend/feature_flags_engine.py
email_templates,1,backend/feature_flags_engine.py
automations,1,backend/feature_flags_engine.py
disc_configs,1,backend/feature_flags_engine.py
reportes_ia_config,1,backend/feature_flags_engine.py
feature_catalog,1,backend/feature_registry.py
forecast_retrain_runs,1,backend/forecast_retrain_cron.py
google_quota,1,backend/google_places_ingest.py
place_photo_cache,1,backend/google_places_ingest.py
dmx_units,1,backend/granularity_backfill.py
score_snapshots,1,backend/granularity_backfill.py
metric_grid,1,backend/grid_engine.py
hook_predictor_scores,1,backend/hook_predictor_engine.py
hook_predictor_cache,1,backend/hook_predictor_engine.py
intelligence_briefs,1,backend/intelligence_insights_engine.py
cross_source_briefs,1,backend/intelligence_insights_engine.py
investment_simulations,1,backend/investment_simulator_engine.py
investment_scenarios,1,backend/investment_simulator_engine.py
kg_relational_alerts_sent,1,backend/kg_cron.py
development_overrides,1,backend/launch_dates.py
lead_capture_aliases,1,backend/lead_capture_engine.py
lead_enrichment_cache,1,backend/lead_enrichment_engine.py
lead_enrichment_runs,1,backend/lead_enrichment_engine.py
lead_journey_steps,1,backend/lead_journey_engine.py
tareas,1,backend/lead_nurture_engine.py
apify_trends_cache,1,backend/live_pulse_engine.py
live_pulse_readiness_history,1,backend/live_pulse_readiness.py
usada_listings,1,backend/maps_cross_engine.py
match_catastro_recommendations,1,backend/maps_cross_engine.py
market_rates,1,backend/market_rates_engine.py
marketing_mcp_cache,1,backend/marketing_mcp_engine.py
marketplace_clones,1,backend/marketplace_templates_engine.py
marketplace_templates_cache,1,backend/marketplace_templates_engine.py
marketplace_ratings,1,backend/marketplace_templates_engine.py
mcp_adoptions,1,backend/mcp_distribution_engine.py
phase_y_recommendations,1,backend/newsletter_pulse_engine.py
investment_explorer_results,1,backend/newsletter_pulse_engine.py
notification_dedupe,1,backend/notifications_engine.py
buyer_assignments,1,backend/notifications_engine.py
scheduled_reminders,1,backend/oauth_calendar.py
perception_risk_data,1,backend/perception_risk_engine.py
invite_codes,1,backend/private_beta_engine.py
waitlist_buyers,1,backend/private_beta_engine.py
probability_snapshots,1,backend/probability_cron.py
probability_alerts_sent,1,backend/probability_cron.py
site_studies,1,backend/probes/ai_integrations.py
ai_briefings,1,backend/probes/ie_engine.py
narratives,1,backend/probes/ie_engine.py
inegi_cache,1,backend/probes/integrations_external.py
developer_project_patches,1,backend/projects_unified.py
cierres_reales,1,backend/resale_data.py
reviews_residents_runs,1,backend/reviews_residents_engine.py
asesor_atlax_settings,1,backend/routes/advisor.py
asesor_channel_requests,1,backend/routes/advisor.py
asesor_argumentarios,1,backend/routes/advisor.py
asesor_argumentarios_rag,1,backend/routes/advisor.py
asesor_dashboard_widgets,1,backend/routes/advisor.py
asesor_recent,1,backend/routes/advisor.py
magic_link_tokens,1,backend/routes/auth.py
tracking_link_events,1,backend/routes/b13.py
traffic_briefings_log,1,backend/routes/briefing_traffic.py
dsr_requests,1,backend/routes/compliance.py
compliance_audit,1,backend/routes/compliance.py
market_comps_closings,1,backend/routes/copiloto_flywheel.py
data_licensing_subscriptions,1,backend/routes/data_licensing.py
bulk_upload_jobs,1,backend/routes/dev_batch1.py
unit_holds,1,backend/routes/dev_batch1.py
erp_webhooks,1,backend/routes/dev_batch1.py
erp_webhook_events,1,backend/routes/dev_batch1.py
content_uploads,1,backend/routes/dev_batch1.py
ai_predictions_cache,1,backend/routes/dev_batch11.py
unit_engagement,1,backend/routes/dev_batch11.py
project_asset_meta,1,backend/routes/dev_batch11.py
filter_presets,1,backend/routes/dev_batch17.py
cross_portal_events,1,backend/routes/dev_batch19.py
dev_forecast_overrides,1,backend/routes/dev_batch2.py
dev_competitor_alert_config,1,backend/routes/dev_batch2.py
market_bulletins,1,backend/routes/dev_batch2.py
dev_competitor_price_snapshots,1,backend/routes/dev_batch2.py
project_slots,1,backend/routes/dev_batch4_1.py
pricing_experiments,1,backend/routes/dev_batch5.py
pricing_visitor_assignments,1,backend/routes/dev_batch5.py
report_templates,1,backend/routes/dev_batch5.py
report_files,1,backend/routes/dev_batch5.py
report_distributions,1,backend/routes/dev_batch5.py
site_selection_studies,1,backend/routes/dev_batch7.py
site_selection_files,1,backend/routes/dev_batch7.py
expansion_simulations,1,backend/routes/dev_batch7.py
cash_flow_files,1,backend/routes/dev_batch8.py
developer_pricing_suggestions,1,backend/routes/developer.py
developer_competitor_alerts,1,backend/routes/developer.py
developer_audit,1,backend/routes/developer.py
user_diagnostics,1,backend/routes/diagnostic.py
user_problem_screenshots,1,backend/routes/diagnostic.py
user_problem_reports,1,backend/routes/diagnostic.py
ie_score_requests,1,backend/routes/diagnostic.py
cash_flow_requests,1,backend/routes/diagnostic.py
narrative_requests,1,backend/routes/diagnostic.py
buyer_favoritos,1,backend/routes/favoritos.py
floor_layouts,1,backend/routes/floor_view.py
forecast_accuracy_snapshots,1,backend/routes/forecast_accuracy.py
forecast_accuracy_runs,1,backend/routes/forecast_accuracy.py
lead_capture_pdfs,1,backend/routes/lead_capture_marketplace.py
inversion_v4_simulations,1,backend/routes/public.py
lead_capture_leads,1,backend/routes/public.py
market_benchmarks,1,backend/routes/public.py
colonia_watches,1,backend/routes/public.py
property_briefings,1,backend/routes/public.py
registros_interes,1,backend/routes/public.py
ai_search_cache,1,backend/routes/public.py
ie_recompute_tasks,1,backend/routes/scores.py
dev_leads,1,backend/routes/search_prefs.py
studio_ad_batches,1,backend/routes/studio.py
studio_ad_tasks,1,backend/routes/studio.py
studio_tts,1,backend/routes/studio.py
cerebro_lessons,1,backend/routes/superadmin_devmaster.py
cerebro_retrains,1,backend/routes/superadmin_devmaster.py
conversation_signal,1,backend/routes/superadmin_devmaster.py
founder_quick_actions,1,backend/routes/superadmin_founder_console.py
observability_events,1,backend/routes/superadmin_health.py
diagnostic_probe_runs,1,backend/routes/superadmin_health.py
impersonation_sessions,1,backend/routes/superadmin_tenants.py
tour_3dgs_embed_logs,1,backend/routes/tour_3dgs.py
link_clicks,1,backend/routes/tracking_links.py
wa_buyer_sessions,1,backend/routes/whatsapp_copiloto.py
wizard_drafts,1,backend/routes/wizard.py
wizard_ia_extractions,1,backend/routes/wizard.py
score_inversion_cache,1,backend/score_inversion_engine.py
floor_unit_positions_orphaned,1,backend/scripts/migrate_floor_unit_positions_b18_5.py
gov_data_mx_runs,1,backend/scripts/seed_w6_gov_data_mx.py
marketplace_template_ratings,1,backend/scripts/seed_w6_marketplace_templates.py
revoked_tokens,1,backend/server.py
ampi_verifications,1,backend/services/ampi_verification.py
argumentario_queries,1,backend/services/argumentario_rag.py
asesor_daily_feed_cache,1,backend/services/asesor_daily_feed.py
dev_auto_approve_rules,1,backend/services/auto_approve_engine.py
calendar_webhook_subscriptions,1,backend/services/calendar_bidirectional.py
client_insights_cache,1,backend/services/client_insights.py
colonia_history,1,backend/services/colonia_history.py
copilot_conversations,1,backend/services/copilot_engine.py
invitations,1,backend/services/internal_users.py
access_tokens,1,backend/services/internal_users.py
lead_match_scores,1,backend/services/lead_to_asesor_match.py
data_export_requests,1,backend/services/privacy_center.py
cerebro_memory,1,backend/services/privacy_center.py
smart_match_cache,1,backend/services/smart_match.py
traffic_briefings_cache,1,backend/services/traffic_briefing.py
visit_briefings,1,backend/services/visit_auto_prep.py
shf_index,1,backend/shf_engine.py
state_of_cdmx_metrics,1,backend/state_of_cdmx_engine.py
stripe_subscriptions,1,backend/stripe_billing_engine.py
stripe_processed_events,1,backend/stripe_billing_engine.py
studio_auto_content_idem,1,backend/studio_auto_content_cron.py
studio_auto_content_queue,1,backend/studio_auto_content_cron.py
studio_landing_data_cache,1,backend/studio_landing_engine.py
inmobiliaria_round_robin,1,backend/studio_landing_engine.py
studio_landing_ab_groups,1,backend/studio_landing_engine.py
studio_landing_views,1,backend/studio_landing_engine.py
studio_landing_leads,1,backend/studio_landing_engine.py
studio_landing_analytics,1,backend/studio_landing_engine.py
studio_rate_limits,1,backend/studio_listing_importer.py
studio_video_cache,1,backend/studio_video_engine.py
market_index_snapshots,1,backend/terminal_mercado_engine.py
tour_3dgs_assets,1,backend/tests/integration/test_tenant_isolation.py
asistente_conversations,1,backend/tests/integration/test_tenant_isolation.py
api_keys,1,backend/tests/integration/test_tenant_isolation.py
unit_3dgs_scans,1,backend/tour_3dgs_engine.py
tour_3dgs_settings,1,backend/tour_3dgs_engine.py
trial_alerts_sent,1,backend/trial_expiry_cron.py
valores_unitarios_meta,1,backend/valores_unitarios_engine.py
vertical_product_calls,1,backend/vertical_products_engine.py
saved_views,1,backend/vistas_guardadas.py
widget_embeds,1,backend/widget_embed_analytics.py
widget_embed_digest_sent,1,backend/widget_embed_cron.py
workflow_email_outbox,1,backend/workflow_engine.py
workflow_queue,1,backend/workflow_queue.py
zone_subscores_compute_runs,1,backend/zone_subscores_cron.py
favoritos_board,1,scripts/e2e_cohort.py
