coleccion,n_archivos,archivos
asesor_busquedas,10,backend/amenidades_engine.py;backend/auto_pilot_engine.py;backend/briefing_engine.py;backend/close_probability.py;backend/grafo_comprador_engine.py;backend/health_score.py;backend/pipeline_drift_personal.py;backend/routes/advisor.py
asesor_profiles,10,backend/asesor_digest_engine.py;backend/granularity_backfill.py;backend/house_pool_engine.py;backend/routes/advisor.py;backend/routes/studio_landing.py;backend/studio_landing_engine.py;scripts/qa_journey_full.py;scripts/qa_sim.py
denue_zone_density,10,backend/atlax_blocks.py;backend/colonias_catalog.py;backend/google_places_ingest.py;backend/hedonic_regression_engine.py;backend/osm_engine.py;backend/perfil_zona_engine.py;backend/routes/public.py;backend/score_engine.py
zone_scores,10,backend/avm_public_engine.py;backend/brochure_engine.py;backend/maps_engine.py;backend/routes/investment_explorer.py;backend/routes/public_api_v1.py;backend/state_of_cdmx_engine.py;backend/studio_auto_content_cron.py;backend/vertical_products_engine.py
developer_unit_overrides,10,backend/routes/advisor.py;backend/routes/dev_batch1.py;backend/routes/dev_batch10.py;backend/routes/dev_batch11.py;backend/routes/dev_price_history.py;backend/routes/dev_sales_intel.py;backend/routes/developer.py;backend/routes/public.py
di_documents,9,backend/auto_sync_engine.py;backend/cross_check_engine.py;backend/dev_assets.py;backend/extraction_engine.py;backend/rag_engine.py;backend/routes/dev_project_full.py;backend/routes/documents.py;backend/routes/public.py
asesor_operaciones,9,backend/coaching_analysis.py;backend/health_score.py;backend/house_pool_engine.py;backend/routes/advisor.py;scripts/qa_destructive.py;scripts/qa_redteam.py;scripts/qa_sim.py;scripts/qa_sim2.py
conversation_threads,9,backend/conversation_confidence_score.py;backend/conversation_cost_stats_engine.py;backend/conversation_drift_detector.py;backend/conversation_engine.py;backend/conversation_kb_gaps_engine.py;backend/conversation_self_tuning.py;backend/routes/conversation_confidence.py;backend/tests/test_conversation_cost.py
conversation_messages,9,backend/conversation_cost_stats_engine.py;backend/conversation_drift_detector.py;backend/conversation_engine.py;backend/conversation_kb_gaps_engine.py;backend/routes/conversation_confidence.py;backend/tests/test_conversation_cost.py;scripts/qa_journey.py;scripts/qa_journey_full.py
dev_assets,9,backend/dev_assets.py;backend/probes/marketplace.py;backend/routes/dev_batch1.py;backend/routes/dev_batch10.py;backend/routes/dev_batch16.py;backend/routes/dev_project_full.py;backend/routes/documents.py;backend/routes/superadmin_catalog_pulse.py
command_center_actions,8,backend/agent_workforce/coach.py;backend/agent_workforce/orchestrator.py;backend/asesor_digest_engine.py;backend/asistente_engine.py;backend/auto_pilot_engine.py;backend/routes/advisor.py;backend/routes/agent_workforce.py;backend/tests/test_auto_pilot.py
phase_y_settings,8,backend/agentic_crm/match_weights_engine.py;backend/agentic_crm/observability_engine.py;backend/lead_nurture_engine.py;backend/routes/agentic_crm.py;backend/routes/observability.py;backend/routes/phase_y_controls.py;scripts/qa_destructive.py;scripts/qa_redteam.py
colonia_catastro_byid,8,backend/avm_predios_engine.py;backend/catastro_sig_engine.py;backend/colonia_valoracion_engine.py;backend/market_estimate_engine.py;backend/routes/mapa_capas.py;backend/routes/public.py;backend/zone_subscores_compute.py;scripts/seed_far_predios.py
project_commercialization,8,backend/health_score.py;backend/probes/cross_portal.py;backend/probes/schema.py;backend/routes/asesor_playbook.py;backend/routes/dev_batch11.py;backend/routes/diagnostic.py;backend/routes/superadmin_catalog_pulse.py;backend/routes/wizard.py
saved_searches,8,backend/routes/comprador.py;backend/routes/diagnostic.py;backend/scheduler_saved_search_alerts.py;backend/services/buyer_alerts.py;backend/services/comprador_dashboard.py;backend/services/lead_to_asesor_match.py;backend/services/saved_searches.py;backend/services/visit_auto_prep.py
disc_profiles,7,backend/agentic_crm/argumentario_engine.py;backend/agentic_crm/disc_inferencer_engine.py;backend/agentic_crm/observability_engine.py;backend/conversation_engine.py;backend/lead_nurture_engine.py;backend/routes/agentic_crm.py;backend/routes/observability.py
email_replies,7,backend/agentic_crm/argumentario_engine.py;backend/agentic_crm/disc_inferencer_engine.py;backend/agentic_crm/observability_engine.py;backend/agentic_crm/reply_classifier_engine.py;backend/lead_nurture_engine.py;backend/routes/agentic_crm.py;backend/routes/observability.py
ai_call_events,7,backend/ai_budget.py;backend/ai_cost_aggregations.py;backend/anomaly_detection_engine.py;backend/asistente_engine.py;backend/conversation_cost_stats_engine.py;backend/routes/agent_workforce.py;backend/tests/test_conversation_cost.py
workflows,7,backend/asistente_engine.py;backend/conversation_workflow_bridge.py;backend/marketplace_templates_engine.py;backend/routes/workflows.py;backend/scripts/seed_w6_workflows.py;backend/tests/test_workflow_isolation_b56.py;backend/workflow_engine.py
organizations,7,backend/branding_helpers.py;backend/brochure_engine.py;backend/routes/dev_batch19.py;backend/routes/dmx_indices.py;backend/routes/drpi.py;backend/routes/live_pulse.py;backend/routes/risk_score.py
dim_zones,7,backend/climate_migration_engine.py;backend/crime_data_engine.py;backend/cube_olap_engine.py;backend/data_lake_etl.py;backend/perception_risk_engine.py;backend/risk_score_engine.py;backend/routes/climate_migration.py
tenant_features,7,backend/dmx_plans.py;backend/feature_flags_engine.py;backend/routes/feature_visibility.py;backend/routes/superadmin_commercial.py;backend/routes/superadmin_founder_console.py;backend/routes/superadmin_tenants.py;backend/trial_expiry_cron.py
activities,7,backend/probes/batch17.py;backend/rag_engine.py;backend/routes/dev_batch14.py;backend/routes/team_aggregated.py;backend/routes/team_productivity.py;backend/services/asesor_metrics.py;backend/tests/test_batch21.py
